X,Y
numeric,numeric
2.147,11.382
9.465,1.034
4.520,20.251
1.974,2.890
-3.358,-6.809
6.417,8.041
-2.745,-14.713
17.231,21.258
20.393,12.446
-5.127,-7.157
12.831,12.957
1.271,4.332
2.993,16.634
18.719,19.932
-18.867,-18.470
-18.159,-20.162
-21.102,-6.106
14.629,18.856
12.234,9.562
16.274,19.389
21.051,5.503
13.158,14.696
-1.694,-17.621
12.338,11.886
-16.789,-30.863
6.154,8.210
-15.686,-22.473
19.558,17.672
0.961,5.947
-3.753,-5.378
-10.355,-2.195
12.061,10.752
-1.929,-4.613
3.010,19.046
-21.165,-10.658
5.174,9.159
4.930,12.728
5.143,6.491
19.517,16.219
7.997,-5.181
-6.179,-6.169
-2.769,-17.314
8.692,5.719
-19.342,-14.453
7.335,3.378
7.505,4.785
-12.738,-14.214
-16.321,-15.789
-8.118,5.854
-5.994,-5.744
-3.650,-4.658
9.690,-6.107
-21.986,-17.271
-8.694,-2.220
-15.536,-25.608
-17.930,-18.062
-13.799,-20.905
-6.793,-6.039
-4.540,-13.687
1.707,12.891
-3.554,-6.238
8.146,1.149
-12.999,-16.715
16.630,24.951
-20.787,-19.059
7.498,2.247
-3.637,-15.635
2.581,13.129
-15.817,-35.111
-13.278,-18.149
13.227,19.546
20.595,17.905
-8.206,-5.560
8.459,-5.969
16.554,23.735
17.356,20.868
-18.251,-24.191
-20.273,-14.079
-14.522,-26.776
16.632,30.469
-17.666,-28.683
-3.470,-15.978
20.139,11.704
1.459,5.589
8.439,2.774
-8.114,6.207
8.203,-0.651
14.718,32.043
-21.187,-7.821
11.002,1.112
21.501,18.767
10.915,-4.393
-9.657,-0.211
12.723,12.046
-17.451,-21.965
-2.292,-6.897
17.971,25.672
-9.077,1.868
-9.334,-7.007
-16.272,-26.528