sample,eruptions,waiting,severe
0,3.6,79,1.0
1,1.8,54,-1.0
2,3.333,74,1.0
3,2.283,62,-1.0
4,4.533,85,1.0
5,2.883,55,-1.0
6,4.7,88,1.0
7,3.6,85,1.0
8,1.95,51,-1.0
9,4.35,85,1.0
10,1.8330000000000002,54,-1.0
11,3.917,84,1.0
12,4.2,78,1.0
13,1.75,47,-1.0
14,4.7,83,1.0
15,2.167,52,-1.0
16,1.75,62,-1.0
17,4.8,84,1.0
18,1.6,52,-1.0
19,4.25,79,1.0
20,1.8,51,-1.0
21,1.75,47,-1.0
22,3.45,78,1.0
23,3.0669999999999997,69,-1.0
24,4.533,74,1.0
25,3.6,83,1.0
26,1.9669999999999999,55,-1.0
27,4.083,76,1.0
28,3.85,78,1.0
29,4.433,79,1.0
30,4.3,73,1.0
31,4.467,77,1.0
32,3.367,66,1.0
33,4.033,80,1.0
34,3.833,74,1.0
35,2.017,52,-1.0
36,1.867,48,-1.0
37,4.833,80,1.0
38,1.8330000000000002,59,-1.0
39,4.783,90,1.0
40,4.35,80,1.0
41,1.883,58,-1.0
42,4.567,84,1.0
43,1.75,58,-1.0
44,4.533,73,1.0
45,3.3169999999999997,83,1.0
46,3.833,64,1.0
47,2.1,53,-1.0
48,4.633,82,1.0
49,2.0,59,-1.0
50,4.8,75,1.0
51,4.716,90,1.0
52,1.8330000000000002,54,-1.0
53,4.833,80,1.0
54,1.733,54,-1.0
55,4.883,83,1.0
56,3.717,71,1.0
57,1.6669999999999998,64,-1.0
58,4.567,77,1.0
59,4.317,81,1.0
60,2.233,59,-1.0
61,4.5,84,1.0
62,1.75,48,-1.0
63,4.8,82,1.0
64,1.817,60,-1.0
65,4.4,92,1.0
66,4.167,78,1.0
67,4.7,78,1.0
68,2.0669999999999997,65,-1.0
69,4.7,73,1.0
70,4.033,82,1.0
71,1.9669999999999999,56,-1.0
72,4.5,79,1.0
73,4.0,71,1.0
74,1.983,62,-1.0
75,5.067,76,1.0
76,2.017,60,-1.0
77,4.567,78,1.0
78,3.883,76,1.0
79,3.6,83,1.0
80,4.133,75,1.0
81,4.333,82,1.0
82,4.1,70,1.0
83,2.633,65,-1.0
84,4.067,73,1.0
85,4.933,88,1.0
86,3.95,76,1.0
87,4.5169999999999995,80,1.0
88,2.167,48,-1.0
89,4.0,86,1.0
90,2.2,60,-1.0
91,4.333,90,1.0
92,1.867,50,-1.0
93,4.817,78,1.0
94,1.8330000000000002,63,-1.0
95,4.3,72,1.0
96,4.667,84,1.0
97,3.75,75,1.0
98,1.867,51,-1.0
99,4.9,82,1.0
100,2.483,62,-1.0
101,4.367,88,1.0
102,2.1,49,-1.0
103,4.5,83,1.0
104,4.05,81,1.0
105,1.867,47,-1.0
106,4.7,84,1.0
107,1.7830000000000001,52,-1.0
108,4.85,86,1.0
109,3.6830000000000003,81,1.0
110,4.7330000000000005,75,1.0
111,2.3,59,-1.0
112,4.9,89,1.0
113,4.417,79,1.0
114,1.7,59,-1.0
115,4.633,81,1.0
116,2.3169999999999997,50,-1.0
117,4.6,85,1.0
118,1.817,59,-1.0
119,4.417,87,1.0
120,2.617,53,-1.0
121,4.067,69,1.0
122,4.25,77,1.0
123,1.9669999999999999,56,-1.0
124,4.6,88,1.0
125,3.767,81,1.0
126,1.9169999999999998,45,-1.0
127,4.5,82,1.0
128,2.267,55,-1.0
129,4.65,90,1.0
130,1.867,45,-1.0
131,4.167,83,1.0
132,2.8,56,-1.0
133,4.333,89,1.0
134,1.8330000000000002,46,-1.0
135,4.383,82,1.0
136,1.883,51,-1.0
137,4.933,86,1.0
138,2.033,53,-1.0
139,3.733,79,1.0
140,4.2330000000000005,81,1.0
141,2.233,60,-1.0
142,4.533,82,1.0
143,4.817,77,1.0
144,4.333,76,1.0
145,1.983,59,-1.0
146,4.633,80,1.0
147,2.017,49,-1.0
148,5.1,96,1.0
149,1.8,53,-1.0
150,5.033,77,1.0
151,4.0,77,1.0
152,2.4,65,-1.0
153,4.6,81,1.0
154,3.5669999999999997,71,1.0
155,4.0,70,1.0
156,4.5,81,1.0
157,4.083,93,1.0
158,1.8,53,-1.0
159,3.967,89,1.0
160,2.2,45,-1.0
161,4.15,86,1.0
162,2.0,58,-1.0
163,3.833,78,1.0
164,3.5,66,1.0
165,4.583,76,1.0
166,2.367,63,-1.0
167,5.0,88,1.0
168,1.933,52,-1.0
169,4.617,93,1.0
170,1.9169999999999998,49,-1.0
171,2.083,57,-1.0
172,4.583,77,1.0
173,3.333,68,1.0
174,4.167,81,1.0
175,4.333,81,1.0
176,4.5,73,1.0
177,2.417,50,-1.0
178,4.0,85,1.0
179,4.167,74,1.0
180,1.883,55,-1.0
181,4.583,77,1.0
182,4.25,83,1.0
183,3.767,83,1.0
184,2.033,51,-1.0
185,4.433,78,1.0
186,4.083,84,1.0
187,1.8330000000000002,46,-1.0
188,4.417,83,1.0
189,2.1830000000000003,55,-1.0
190,4.8,81,1.0
191,1.8330000000000002,57,-1.0
192,4.8,76,1.0
193,4.1,84,1.0
194,3.966,77,1.0
195,4.2330000000000005,81,1.0
196,3.5,87,1.0
197,4.3660000000000005,77,1.0
198,2.25,51,-1.0
199,4.667,78,1.0
200,2.1,60,-1.0
201,4.35,82,1.0
202,4.133,91,1.0
203,1.867,53,-1.0
204,4.6,78,1.0
205,1.7830000000000001,46,-1.0
206,4.367,77,1.0
207,3.85,84,1.0
208,1.933,49,-1.0
209,4.5,83,1.0
210,2.383,71,-1.0
211,4.7,80,1.0
212,1.867,49,-1.0
213,3.833,75,1.0
214,3.417,64,1.0
215,4.2330000000000005,76,1.0
216,2.4,53,-1.0
217,4.8,94,1.0
218,2.0,55,-1.0
219,4.15,76,1.0
220,1.867,50,-1.0
221,4.2669999999999995,82,1.0
222,1.75,54,-1.0
223,4.4830000000000005,75,1.0
224,4.0,78,1.0
225,4.117,79,1.0
226,4.083,78,1.0
227,4.2669999999999995,78,1.0
228,3.917,70,1.0
229,4.55,79,1.0
230,4.083,70,1.0
231,2.417,54,-1.0
232,4.183,86,1.0
233,2.217,50,-1.0
234,4.45,90,1.0
235,1.883,54,-1.0
236,1.85,54,-1.0
237,4.283,77,1.0
238,3.95,79,1.0
239,2.333,64,-1.0
240,4.15,75,1.0
241,2.35,47,-1.0
242,4.933,86,1.0
243,2.9,63,-1.0
244,4.583,85,1.0
245,3.833,82,1.0
246,2.083,57,-1.0
247,4.367,82,1.0
248,2.133,67,-1.0
249,4.35,74,1.0
250,2.2,54,-1.0
251,4.45,83,1.0
252,3.5669999999999997,73,1.0
253,4.5,73,1.0
254,4.15,88,1.0
255,3.8169999999999997,80,1.0
256,3.917,71,1.0
257,4.45,83,1.0
258,2.0,56,-1.0
259,4.283,79,1.0
260,4.7669999999999995,78,1.0
261,4.533,84,1.0
262,1.85,58,-1.0
263,4.25,83,1.0
264,1.983,43,-1.0
265,2.25,60,-1.0
266,4.75,75,1.0
267,4.117,81,1.0
268,2.15,46,-1.0
269,4.417,90,1.0
270,1.817,46,-1.0
271,4.467,74,1.0
